stakeholder,industry,materialType,certificationStatus,supplyReliability,technicalQualificationStatus,deliveryTimeline,annualSteelVolumeTonnes,conventionalSteelPricePerTonne,greenPremiumPerTonne,totalPremium,premiumPerProduct,premiumPercentage,baselineCo2Intensity,greenSteelCo2Intensity,co2Saved,proofScore,carbonPrice,indicativeCarbonValue,costSensitivity,proofSensitivity,claimRiskSensitivity,strategicFocus,supplySensitivity,technicalSensitivity,urgencySensitivity,price_objection,proof_certification_objection,greenwashing_objection,supply_reliability_objection,internal_approval_objection,technical_quality_objection,low_urgency_objection
Procurement,Automotive,Engineering Steel,Pending,High,In qualification,Within 3 months,4220.0,784.0,254.0,1071880.0,0.6853373810275841,0.3239795918367347,2.208911761592282,0.7716385831661723,6065.292812958184,1.0,85.0,515549.8891014457,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,0,0,0,0,1,0
Sustainability,Automotive,Engineering Steel,Pending,High,In qualification,Within 3 months,4220.0,784.0,254.0,1071880.0,0.6853373810275841,0.3239795918367347,2.208911761592282,0.7716385831661723,6065.292812958184,1.0,85.0,515549.8891014457,0.3,0.9,0.85,0.7,0.3,0.4,0.7,1,0,0,0,0,0,0
Management,Automotive,Engineering Steel,Pending,High,In qualification,Within 3 months,4220.0,784.0,254.0,1071880.0,0.6853373810275841,0.3239795918367347,2.208911761592282,0.7716385831661723,6065.292812958184,1.0,85.0,515549.8891014457,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,0,1,1,0,0
Compliance,Automotive,Engineering Steel,Pending,High,In qualification,Within 3 months,4220.0,784.0,254.0,1071880.0,0.6853373810275841,0.3239795918367347,2.208911761592282,0.7716385831661723,6065.292812958184,1.0,85.0,515549.8891014457,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,0,1,1,0
Procurement,Infrastructure,Bar Steel,Not started,Medium,Not qualified,Within 3 months,25375.0,845.0,61.0,1547875.0,1.5933147431601853,0.07218934911242604,2.265807841116161,0.7828586144980811,37629.836625433774,0.3333333333333333,85.0,3198536.1131618707,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,0,1,1,1,0,0
Sustainability,Infrastructure,Bar Steel,Not started,Medium,Not qualified,Within 3 months,25375.0,845.0,61.0,1547875.0,1.5933147431601853,0.07218934911242604,2.265807841116161,0.7828586144980811,37629.836625433774,0.3333333333333333,85.0,3198536.1131618707,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,1,0,1,1,0
Management,Infrastructure,Bar Steel,Not started,Medium,Not qualified,Within 3 months,25375.0,845.0,61.0,1547875.0,1.5933147431601853,0.07218934911242604,2.265807841116161,0.7828586144980811,37629.836625433774,0.3333333333333333,85.0,3198536.1131618707,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,0,0,0,1,0
Compliance,Infrastructure,Bar Steel,Not started,Medium,Not qualified,Within 3 months,25375.0,845.0,61.0,1547875.0,1.5933147431601853,0.07218934911242604,2.265807841116161,0.7828586144980811,37629.836625433774,0.3333333333333333,85.0,3198536.1131618707,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,1,1,0,0,1,1
Procurement,Construction,Bar Steel,Certified,High,In qualification,Within 6 months,31463.0,948.0,186.0,5852118.0,5.866279197983933,0.1962025316455696,1.9251094891520564,0.7884122307996209,35763.90583954268,0.3333333333333333,85.0,3039931.9963611276,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,0,0,1,1,1,0
Sustainability,Construction,Bar Steel,Certified,High,In qualification,Within 6 months,31463.0,948.0,186.0,5852118.0,5.866279197983933,0.1962025316455696,1.9251094891520564,0.7884122307996209,35763.90583954268,0.3333333333333333,85.0,3039931.9963611276,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,1,0,1,1,1
Management,Construction,Bar Steel,Certified,High,In qualification,Within 6 months,31463.0,948.0,186.0,5852118.0,5.866279197983933,0.1962025316455696,1.9251094891520564,0.7884122307996209,35763.90583954268,0.3333333333333333,85.0,3039931.9963611276,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,0,0,0,0,0
Compliance,Construction,Bar Steel,Certified,High,In qualification,Within 6 months,31463.0,948.0,186.0,5852118.0,5.866279197983933,0.1962025316455696,1.9251094891520564,0.7884122307996209,35763.90583954268,0.3333333333333333,85.0,3039931.9963611276,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,0,1,1,1
Procurement,Automotive,Forged Components,Certified,High,In qualification,Within 6 months,19964.0,851.0,185.0,3693340.0,2.788112395955533,0.21739130434782608,2.1018470725619545,0.6504587813476415,28975.515845802543,0.6666666666666666,85.0,2462918.846893216,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,0,1,0,1,1,1
Sustainability,Automotive,Forged Components,Certified,High,In qualification,Within 6 months,19964.0,851.0,185.0,3693340.0,2.788112395955533,0.21739130434782608,2.1018470725619545,0.6504587813476415,28975.515845802543,0.6666666666666666,85.0,2462918.846893216,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,0,0,1,0,1
Management,Automotive,Forged Components,Certified,High,In qualification,Within 6 months,19964.0,851.0,185.0,3693340.0,2.788112395955533,0.21739130434782608,2.1018470725619545,0.6504587813476415,28975.515845802543,0.6666666666666666,85.0,2462918.846893216,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,0,1,0,0,0
Compliance,Automotive,Forged Components,Certified,High,In qualification,Within 6 months,19964.0,851.0,185.0,3693340.0,2.788112395955533,0.21739130434782608,2.1018470725619545,0.6504587813476415,28975.515845802543,0.6666666666666666,85.0,2462918.846893216,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,0,1,0,0,1,1
Procurement,Renewable Energy,Forged Components,In audit,Low,In qualification,Within 3 months,4788.0,833.0,187.0,895356.0,0.4061730080825777,0.22448979591836735,1.8249870270712067,0.6956535808151412,5407.248540674042,1.0,85.0,459616.12595729355,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,0,1,1,0,1,0
Sustainability,Renewable Energy,Forged Components,In audit,Low,In qualification,Within 3 months,4788.0,833.0,187.0,895356.0,0.4061730080825777,0.22448979591836735,1.8249870270712067,0.6956535808151412,5407.248540674042,1.0,85.0,459616.12595729355,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,0,1,0,1,0
Management,Renewable Energy,Forged Components,In audit,Low,In qualification,Within 3 months,4788.0,833.0,187.0,895356.0,0.4061730080825777,0.22448979591836735,1.8249870270712067,0.6956535808151412,5407.248540674042,1.0,85.0,459616.12595729355,0.6,0.5,0.5,0.95,0.6,0.5,0.6,1,1,0,0,0,0,0
